movieInfo,quote,title,star,quo_num
导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...;2010/美国/剧情喜剧爱情;;,真正的幸福是来自内心深处。,怦然心动,8.9,425535人评价
导演:LouiePsihoyos主演:JohnChisholm/Mandy-RaeCruikshank/Char...;2009/美国/纪录片;;,海豚的微笑，是世界上最高明的伪装。,海豚湾,9.3,158959人评价
导演:彼特·道格特PeteDocter主演:克里斯托弗·普卢默ChristopherPl...;2009/美国/剧情喜剧动画奇幻冒险;;,最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记,8.9,422292人评价
导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...;1995/香港中国大陆/喜剧动作爱情奇幻冒险古装;;,旷古烁今。,大话西游之月光宝盒,8.9,316688人评价
导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...;1975/美国/剧情;;,自由万岁。,飞越疯人院,9.0,230245人评价
导演:刘伟强/麦兆辉主演:刘德华/梁朝伟/黄秋生;2002/香港/犯罪悬疑惊悚;;,香港电影史上永不过时的杰作。,无间道,8.9,313071人评价
导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...;2000/中国大陆/剧情战争;;,对敌人的仁慈，就是对自己残忍。,鬼子来了,9.1,180083人评价
导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck...;2006/德国/剧情悬疑;;,别样人生。,窃听风暴,9.1,175714人评价
导演:李安AngLee主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...;2012/美国台湾英国加拿大/剧情奇幻冒险;;,瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流,9.0,487898人评价
导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...;2008/美国英国/剧情动作科幻犯罪惊悚;;,无尽的黑暗。,蝙蝠侠：黑暗骑士,8.9,253777人评价
导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔丽·波曼NataliePortm...;2005/美国英国德国/剧情动作科幻惊悚;;,一张面具背后的理想与革命。,V字仇杀队,8.8,333625人评价
导演:黄东赫Dong-hyukHwang主演:孔侑YooGong/郑有美Yu-miJeong...;2011/韩国/剧情;;,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,9.1,165301人评价
导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...;1992/美国/剧情;;,史上最美的探戈。,闻香识女人,8.9,261593人评价
